id,视频BV号（bvid）,标题（title,播放量（play,点赞数（like）,收藏数（favorite）,投币数（coin）,评论数（reply）,Up主名称（authon_name),Up主UID（mid）,粉丝数（fans）,标签（tags）,视频时长（秒）（durtion）
186,BV1eqTM6vEcX,只用赏心悦目的忍者上段！#4,311507,37147,10394,24394,907,赵小天咯,50001728,913580,"手机游戏,火影忍者,搞笑,决斗场,日向雏田,夏日忍者,纲手,格斗游戏,火影忍者手游",1001
187,BV1sGKR6LEzZ,赛后情书：营销大王日本队32强出局，安切洛蒂正反手教育森保一巴西赢麻了！,371056,13456,1972,6380,3977,HC王楚淇,1591295479,436087,"王楚淇说球,世界杯,巴西,日本,王楚淇,维尼修斯",668
188,BV14y7p6pE5J,今天我要拍的男团是_____,580927,28019,5067,1192,1155,笙笙和夕夕,43679186,862257,"KPOP回归前线,摄影,颜值,男团,KPOP,RIIZE,RISEandREALIZE,笙笙,胶片,拉椅子",160
189,BV1pHTg6WEza,山东的好看也分很多种,1746946,153056,7010,753,4907,一铭mingming,523424910,29419,"原创,山东,记录",30
190,BV1zdKD6bEHQ,歌剧老师锐评《歌手2026》第六期（下）,515085,20107,3059,10637,7955,铁豆钢蛋,379028503,695657,"一起看歌手2026,胡彦斌,窦靖童,刘惜君,歌手,传奇,张远,艾略特,Reaction,锐评",4109
191,BV1EeTg6LEaK,首届《哈基米歌王争霸赛》总决赛,1155755,67903,10228,7982,1846,林芷伊kiwi,16993069,895507,"哈基米歌王争霸赛,音乐,翻唱,哈基米",2281
192,BV1SMTM6sEG3,清洁工咕嘎-第2集,319083,38500,4255,3774,579,清洁工咕嘎,13687231,6355,"二次元,动画,治愈,正能量,搞笑,可爱,vlog,记录,解压,咕咕嘎嘎",258
193,BV1CxTG6bEQe,被诋毁的“三系杂交稻”到底有多牛？看懂它才能看懂中国饭碗【主播说三农】,1182473,177361,11132,29703,7854,央视农业,1343321779,3903095,"中国,主播说三农,粮食,水稻,农业,三农,袁隆平,粮仓",291
194,BV18zKR6dEBA,三角洲行动 拳打MK47，脚踢M14！策划究极数值之作！SVCH的全面解析与最强改法教学！【S】,330672,12440,5728,667,1748,Always聪聪,52717408,1665439,"猛攻三角洲S9新赛季,射击游戏,游戏解说,FPS,三角洲行动,教程攻略",372
195,BV1jdKU6DEXW,板面：为什么那么多人爱吃？？！,567628,28682,6397,1593,1418,上班族的便当,50660116,3385481,"舌尖真探事务所,美食制作,美食教程,河北特色板面,面条,板面,安徽板面",429
196,BV13VK96REyZ,三角洲新赛季最逆天的发现，回响无限制扫描,1007620,66507,9521,678,1883,小怂弟,1666628639,665632,三角洲行动,31
197,BV1aKTg6eETx,一间小院，一家三口，用满院的烟火气，为孩子的未来点亮星光,504190,42043,1142,12638,451,油克东东,205961190,273812,"家居,生活记录,房子",138
198,BV1Lm756EEBb,“错误的标准答案见多了，第一次见如此超模的正解”【AI教育の小曲】【灰色轨迹尾奏-DJ】,4100877,327171,49787,9996,6653,早睡起大王,676239823,285636,"2026B站毕业歌,歌单,音乐推荐,听歌,电台,黄家驹,音乐,灰色轨迹,综合,Beyond",279
199,BV1wzTT6LEh5,【TF家族练习生】《突围II破局》EP01：先放空的人，才有力气往前走（下）,1526780,60804,28737,6402,9961,TF家族,3670216,8894745,"TF四代暑期集训纪录片,TF家族练习生",3854
200,BV1ci7W6mEUr,脑瘫挑战麒麟臂吃果冻,246065,42622,1892,15774,1243,阿呆去流浪,692175859,103310,"娱乐,生活记录,美食",182
201,BV11C736WEje,法国人：中国人总是一脸轻松的说出残忍的话。中国人：天气这么热，你们为什么不装空调？,3919578,104417,16947,3211,28320,文同学文案,170914,222606,"万物研究所,西瓜,法国,中国,天气,发达国家,酷热,空调,高温",435
202,BV17k7W6CEda,尸潮来袭！开局一辆车如何在无穷的高架桥上存活下去！！「高架惊变100天2」,1722076,145998,57090,75833,1682,夏天y,84130356,1978505,"推荐宝藏游戏,单机游戏,沙盒游戏,MC,我的世界,生存游戏,高架惊变100天,像素风,多人游戏,夏天y",1358
203,BV1sa756bEq3,父母催婚话术是如何做到全国统一的,1308395,159620,14870,1242,1701,菜包豆本豆,377763688,25133,"人类模仿ai,菜包豆,催婚,豆包,父母,精神状态",37
204,BV1r67q6HEGb,【人森】有情人终成“家属”,831334,30835,26697,4872,827,里昂聊游戏,14576879,2634378,"朋友收集梦想生活,主机游戏,单机游戏,人森,豆沙包",2142
206,BV1r3KD6bEUQ,民警一条视频为您讲清派出所和公安局的区别,1473866,96026,5817,641,2975,新华网,488055582,2222571,"警察,民警,公安局,派出所",46
