id,bvid,title,play,like,favorite,coin,reply,author_name,mid,fans,tname,tags,cover,duration,detail_url,点赞率,收藏率,投币率,评论率,互动总分
152,BV1LcKS67Efe,顶疯作案，掩月之巅【凡人官方二创大会】,299612,20408,2388,2729,652,么鸣堂,249295355,92738,,"凡人官方二创大会,杀马特,凡人修仙传,AI整活,修仙时代,动画种草,updream,南宫阙,国漫巅峰,南宫婉",http://i1.hdslb.com/bfs/archive/95a10062ae4983d0e4322f795edfd7df85a53993.jpg,143,https://www.bilibili.com/video/BV1LcKS67Efe,0.06811476175854105,0.007970308265356527,0.009108446924689265,0.0021761478178444122,0.10046326582379878
153,BV13MKS6kE6V,对不起，五年前我不该网暴至冬,455622,32243,3601,2272,926,不是的的是のの,6875363,1747503,,"至冬,冷脸萌,安娜丝塔夏·费奥多罗夫娜·雪奈茨娜娅,国际象棋,偷家,富人,钟离,冰之女皇,原神",http://i0.hdslb.com/bfs/archive/b576670b0b58e90840a7f36326cdef19ca43e498.jpg,166,https://www.bilibili.com/video/BV13MKS6kE6V,0.070766995447981,0.007903481394664876,0.004986589760810497,0.0020323864958232923,0.0946277835574226
154,BV1ix7s6VEu9,看看赶海都能遇到啥,1766543,41183,3508,798,212,辉老板赶海,3546603533109324,560394,,"赶海,户外,三农",http://i1.hdslb.com/bfs/archive/925732e1d9b199de7b3a6ec3409af64c205e8883.jpg,130,https://www.bilibili.com/video/BV1ix7s6VEu9,0.023312763968949525,0.0019857993833153225,0.0004517297342889474,0.00012000840058804117,0.027314930913088443
155,BV1Fv7H66E7M,这辈子过得最痛苦的生日...,1294213,123316,13332,24645,2224,盗月社食遇记,99157282,8411764,,"记录我的美食日常,生活记录,搞笑,快乐,盲盒挑战,大众点评必吃榜,大众点评,记录,朋友,生日快乐",http://i1.hdslb.com/bfs/archive/98f339ecccf3d43d93a99e706bd3917f6b58c953.jpg,1490,https://www.bilibili.com/video/BV1Fv7H66E7M,0.09528261576726552,0.010301240985834634,0.019042460553247417,0.001718418838321049,0.15053781719083334
156,BV16xKo6VECt,高考没带准考证请直接拉到工厂，给《翘楚》《炽夏》走个面儿,153904,13159,2610,7122,1172,蜡笔小坨恰恰恰,628427286,754784,,"影视剧情课代表,陈都灵,搞笑,高考,影评杂谈,周柯宇,包上恩,翘楚,炽夏,周翊然",http://i1.hdslb.com/bfs/archive/9c273c242cf58cbc3069e2e169bfb867470c6b2b.jpg,1968,https://www.bilibili.com/video/BV16xKo6VECt,0.08550135149183907,0.016958623557542366,0.046275600374259276,0.0076151367085975676,0.21110562428526874
157,BV1GMKQ6nEy7,导员 我们真不是故意的…,1085445,92710,8964,669,383,CCCmlng小陈不憨,42019920,1197196,,"B站小剧场,生活记录,搞笑,原创,娱乐,校园,老师,导员",http://i1.hdslb.com/bfs/archive/14e109ce7274183c9ac63e48c63288582b55b075.jpg,36,https://www.bilibili.com/video/BV1GMKQ6nEy7,0.08541197389089268,0.008258364081091166,0.0006163370783411412,0.0003528506741474695,0.09938504484335918
159,BV1J6jQ6REN2,除了学习什么都学的舅舅！！1~38超长合集！,8618374,461517,660009,75296,1313,猫meme电影院,3690975337647046,374443,,"原创,猫meme,合集",http://i0.hdslb.com/bfs/archive/d7d6738d98153f18e03a96d8dc7a02ff70d77c69.jpg,4977,https://www.bilibili.com/video/BV1J6jQ6REN2,0.05355035648255692,0.07658161504710749,0.00873668281279044,0.00015234892335839684,0.18604849360215744
162,BV1cp7L6xETe,夫妻生活太无聊，所以我……,2623937,44877,31496,16680,609,英雄哪里出来,319521269,1365298,,"科技猎手,计算机,编程,科技科普,悟空安全,弹窗,杀毒软件,Python,安全软件,整活",http://i2.hdslb.com/bfs/archive/e6e75b501583b612a53e301b24dba4f34b38a37d.jpg,306,https://www.bilibili.com/video/BV1cp7L6xETe,0.01710292587055253,0.012003336970361713,0.0063568599398537385,0.0002320939870126455,0.048053745192815224
163,BV1D9KQ6UEiA,护士姐姐：学吧，这就是商务枪法.丨《内脏医生》02,59892,10172,4081,8756,898,小熊flippy,8730238,1175763,,"整点电子榨菜,恐怖游戏,搞笑,维斯拉医生,沙雕,恐怖奶奶",http://i0.hdslb.com/bfs/archive/8f461106656a379c192b2bae3a40efcf8a0a89b1.jpg,2160,https://www.bilibili.com/video/BV1D9KQ6UEiA,0.16983904361183463,0.06813931743805517,0.14619648700995125,0.014993655246109664,0.5794346490349296
168,BV1FFTN6PEST,全球首发！核电站彩蛋！36位密码门！空气墙迷宫我们整出来啦！「三角洲S10赛季」,2666427,139536,72592,39542,7312,Key725,11332884,1327415,,"三角洲S10裂变新赛季,彩蛋,解密,空气墙迷宫,三角洲行动,三角洲S10新赛季33任务攻略,36位密码门,核电站,新赛季,老key",http://i1.hdslb.com/bfs/archive/74886c242a98145f37075e740a9d7720ee3b6dff.jpg,616,https://www.bilibili.com/video/BV1FFTN6PEST,0.052330703221952074,0.027224446797155893,0.014829582808754937,0.0027422464594005387,0.12556878549459632
